surface,file_path,token_type,count,example_lines
InviteExpired,src/pages/InviteExpired.tsx,spec030_token_usage,3,"L11: <div className=""glass-card card-bevel p-6 text-center space-y-4""> | L20: <Link to=""/login"" className=""btn btn-primary btn-sm btn-bevel no-underline"">"
InviteInvalid,src/pages/InviteInvalid.tsx,tailwind_shadow_utility,0,
InviteInvalid,src/pages/InviteInvalid.tsx,tailwind_rounded_utility,0,
InviteInvalid,src/pages/InviteInvalid.tsx,tailwind_border_utility,0,
InviteInvalid,src/pages/InviteInvalid.tsx,raw_rgba,0,
InviteInvalid,src/pages/InviteInvalid.tsx,css_custom_property,0,
InviteInvalid,src/pages/InviteInvalid.tsx,backdrop_filter_assignment,0,
InviteInvalid,src/pages/InviteInvalid.tsx,hardcoded_box_shadow,0,
InviteInvalid,src/pages/InviteInvalid.tsx,hardcoded_border_radius,0,
InviteInvalid,src/pages/InviteInvalid.tsx,spec030_token_usage,3,"L11: <div className=""glass-card card-bevel p-6 text-center space-y-4""> | L17: <Link to=""/login"" className=""btn btn-primary btn-sm btn-bevel no-underline"">"
HouseholdGuestView,src/pages/HouseholdGuestView.tsx,tailwind_shadow_utility,0,
HouseholdGuestView,src/pages/HouseholdGuestView.tsx,tailwind_rounded_utility,0,
HouseholdGuestView,src/pages/HouseholdGuestView.tsx,tailwind_border_utility,0,
HouseholdGuestView,src/pages/HouseholdGuestView.tsx,raw_rgba,0,
HouseholdGuestView,src/pages/HouseholdGuestView.tsx,css_custom_property,0,
HouseholdGuestView,src/pages/HouseholdGuestView.tsx,backdrop_filter_assignment,0,
HouseholdGuestView,src/pages/HouseholdGuestView.tsx,hardcoded_box_shadow,0,
HouseholdGuestView,src/pages/HouseholdGuestView.tsx,hardcoded_border_radius,0,
HouseholdGuestView,src/pages/HouseholdGuestView.tsx,spec030_token_usage,9,"L15: <div className=""alert alert-warning card-bevel""> | L22: <Link to=""/login"" className=""btn btn-primary btn-sm btn-bevel no-underline""> | L25: <Link to=""/register"" className=""btn btn-outline btn-sm btn-bevel no-underline"">"
Profile,src/pages/Profile.tsx,tailwind_shadow_utility,0,
Profile,src/pages/Profile.tsx,tailwind_rounded_utility,0,
Profile,src/pages/Profile.tsx,tailwind_border_utility,0,
Profile,src/pages/Profile.tsx,raw_rgba,0,
Profile,src/pages/Profile.tsx,css_custom_property,0,
Profile,src/pages/Profile.tsx,backdrop_filter_assignment,0,
Profile,src/pages/Profile.tsx,hardcoded_box_shadow,0,
Profile,src/pages/Profile.tsx,hardcoded_border_radius,0,
Profile,src/pages/Profile.tsx,spec030_token_usage,22,"L27: <section className=""glass-card card-bevel p-5 space-y-4""> | L32: <input className=""input input-bordered input-styled"" value={user.username} readOnly /> | L36: <input className=""input input-bordered input-styled"" value={user.display_name} readOnly />"
global-css,src/index.css,tailwind_shadow_utility,0,
global-css,src/index.css,tailwind_rounded_utility,0,
global-css,src/index.css,tailwind_border_utility,16,"L177: border-radius: var(--bevel-radius); | L185: border-radius: 1rem; | L189: transition: box-shadow 200ms ease, border-color 200ms ease, transform 150ms ease;"
global-css,src/index.css,raw_rgba,52,"L39: --glass-bg: rgba(15, 10, 8, 0.72); | L41: --glass-border: rgba(255, 255, 255, 0.08); | L42: --glass-highlight: inset 0 1px 0 rgba(255,255,255,0.08);"
global-css,src/index.css,css_custom_property,66,L5: themes: espresso-dark --default; | L12: --color-primary: #d97706; | L13: --color-primary-content: #ffffff;
global-css,src/index.css,backdrop_filter_assignment,4,L163: backdrop-filter: blur(4px); | L164: -webkit-backdrop-filter: blur(4px); | L355: -webkit-backdrop-filter: blur(16px);
global-css,src/index.css,hardcoded_box_shadow,4,"L165: box-shadow: | L194: box-shadow: | L215: box-shadow: inset 0 -12px 24px rgba(4, 2, 1, 0.70);"
global-css,src/index.css,hardcoded_border_radius,3,L185: border-radius: 1rem; | L205: border-radius: 1rem 1rem 0 0; | L262: border-radius: 0.75rem;
global-css,src/index.css,spec030_token_usage,63,"L39: --glass-bg: rgba(15, 10, 8, 0.72); | L40: --glass-blur: blur(16px); | L41: --glass-border: rgba(255, 255, 255, 0.08);"
component:AddBeanModal,src/components/AddBeanModal.tsx,tailwind_shadow_utility,0,
component:AddBeanModal,src/components/AddBeanModal.tsx,tailwind_rounded_utility,1,"L263: <div className=""rounded-lg border border-amber-700/40 bg-amber-950/50 p-3 text-xs text-amber-100"">"
component:AddBeanModal,src/components/AddBeanModal.tsx,tailwind_border_utility,13,"L139: <div className=""modal-box bg-stone-900 border border-amber-900/30 glass-modal-surface""> | L152: className=""input input-bordered input-sm flex-1 bg-stone-800 border-amber-900/40 text-amber-100 input-styled"" | L192: className={`input input-bordered input-sm w-full bg-stone-800 border-amber-900/40 text-amber-100 input-styled${touched.roaster && fieldErrors.roaster ? ' border-error' : ''}`}"
component:AddBeanModal,src/components/AddBeanModal.tsx,raw_rgba,0,
component:AddBeanModal,src/components/AddBeanModal.tsx,css_custom_property,0,
component:AddBeanModal,src/components/AddBeanModal.tsx,backdrop_filter_assignment,0,
component:AddBeanModal,src/components/AddBeanModal.tsx,hardcoded_box_shadow,0,
component:AddBeanModal,src/components/AddBeanModal.tsx,hardcoded_border_radius,0,
component:AddBeanModal,src/components/AddBeanModal.tsx,spec030_token_usage,8,"L138: <dialog open className=""modal modal-open glass-modal-backdrop""> | L139: <div className=""modal-box bg-stone-900 border border-amber-900/30 glass-modal-surface""> | L152: className=""input input-bordered input-sm flex-1 bg-stone-800 border-amber-900/40 text-amber-100 input-styled"""
component:AddHardwareModal,src/components/AddHardwareModal.tsx,tailwind_shadow_utility,0,
component:AddHardwareModal,src/components/AddHardwareModal.tsx,tailwind_rounded_utility,0,
component:AddHardwareModal,src/components/AddHardwareModal.tsx,tailwind_border_utility,6,"L50: <div className=""modal-box bg-stone-900 border border-amber-900/30 glass-modal-surface""> | L60: className=""select select-bordered select-sm w-full bg-stone-800 border-amber-900/40 text-amber-100 input-styled"" | L77: className=""input input-bordered input-sm w-full bg-stone-800 border-amber-900/40 text-amber-100 input-styled"""
component:AddHardwareModal,src/components/AddHardwareModal.tsx,raw_rgba,0,
component:AddHardwareModal,src/components/AddHardwareModal.tsx,css_custom_property,0,
component:AddHardwareModal,src/components/AddHardwareModal.tsx,backdrop_filter_assignment,0,
component:AddHardwareModal,src/components/AddHardwareModal.tsx,hardcoded_box_shadow,0,
component:AddHardwareModal,src/components/AddHardwareModal.tsx,hardcoded_border_radius,0,
component:AddHardwareModal,src/components/AddHardwareModal.tsx,spec030_token_usage,6,"L49: <dialog className=""modal modal-open glass-modal-backdrop"" open> | L50: <div className=""modal-box bg-stone-900 border border-amber-900/30 glass-modal-surface""> | L60: className=""select select-bordered select-sm w-full bg-stone-800 border-amber-900/40 text-amber-100 input-styled"""
component:AppShell,src/components/AppShell.tsx,tailwind_shadow_utility,0,
component:AppShell,src/components/AppShell.tsx,tailwind_rounded_utility,0,
component:AppShell,src/components/AppShell.tsx,tailwind_border_utility,0,
component:AppShell,src/components/AppShell.tsx,raw_rgba,0,
component:AppShell,src/components/AppShell.tsx,css_custom_property,0,
component:AppShell,src/components/AppShell.tsx,backdrop_filter_assignment,0,
component:AppShell,src/components/AppShell.tsx,hardcoded_box_shadow,0,
component:AppShell,src/components/AppShell.tsx,hardcoded_border_radius,0,
component:AppShell,src/components/AppShell.tsx,spec030_token_usage,0,
component:BottomNav,src/components/BottomNav.tsx,tailwind_shadow_utility,0,
component:BottomNav,src/components/BottomNav.tsx,tailwind_rounded_utility,1,L68: `flex flex-col items-center gap-0.5 px-2 py-1 rounded-lg text-xs transition-colors ${
component:BottomNav,src/components/BottomNav.tsx,tailwind_border_utility,0,
component:BottomNav,src/components/BottomNav.tsx,raw_rgba,2,"L57: background: 'rgba(26, 18, 9, 0.95)', | L59: borderTop: '1px solid rgba(217, 119, 6, 0.2)',"
component:BottomNav,src/components/BottomNav.tsx,css_custom_property,0,
component:BottomNav,src/components/BottomNav.tsx,backdrop_filter_assignment,0,
component:BottomNav,src/components/BottomNav.tsx,hardcoded_box_shadow,0,
component:BottomNav,src/components/BottomNav.tsx,hardcoded_border_radius,0,
component:BottomNav,src/components/BottomNav.tsx,spec030_token_usage,0,
component:CharacterTile,src/components/CharacterTile.tsx,tailwind_shadow_utility,0,
component:CharacterTile,src/components/CharacterTile.tsx,tailwind_rounded_utility,1,L17: className={`flex items-center justify-center rounded-lg font-display font-bold text-amber-100 ${SIZE_CLASSES[size]}`}
component:CharacterTile,src/components/CharacterTile.tsx,tailwind_border_utility,0,
component:CharacterTile,src/components/CharacterTile.tsx,raw_rgba,1,"L20: border: '1px solid rgba(217, 119, 6, 0.3)',"
component:CharacterTile,src/components/CharacterTile.tsx,css_custom_property,0,
component:CharacterTile,src/components/CharacterTile.tsx,backdrop_filter_assignment,0,
component:CharacterTile,src/components/CharacterTile.tsx,hardcoded_box_shadow,0,
component:CharacterTile,src/components/CharacterTile.tsx,hardcoded_border_radius,0,
component:CharacterTile,src/components/CharacterTile.tsx,spec030_token_usage,0,
component:Chip,src/components/Chip.tsx,tailwind_shadow_utility,0,
component:Chip,src/components/Chip.tsx,tailwind_rounded_utility,1,L12: className={`inline-flex items-center text-xs px-2.5 py-1 rounded-[0.625rem] bg-amber-900/30 text-amber-200/90 border border-amber-700/40 backdrop-blur-sm ${className}`.trim()}
component:Chip,src/components/Chip.tsx,tailwind_border_utility,2,L12: className={`inline-flex items-center text-xs px-2.5 py-1 rounded-[0.625rem] bg-amber-900/30 text-amber-200/90 border border-amber-700/40 backdrop-blur-sm ${className}`.trim()}
component:Chip,src/components/Chip.tsx,raw_rgba,0,
component:Chip,src/components/Chip.tsx,css_custom_property,0,
component:Chip,src/components/Chip.tsx,backdrop_filter_assignment,0,
component:Chip,src/components/Chip.tsx,hardcoded_box_shadow,0,
component:Chip,src/components/Chip.tsx,hardcoded_border_radius,0,
component:Chip,src/components/Chip.tsx,spec030_token_usage,0,
component:CompassChart,src/components/CompassChart.tsx,tailwind_shadow_utility,0,
component:CompassChart,src/components/CompassChart.tsx,tailwind_rounded_utility,0,
component:CompassChart,src/components/CompassChart.tsx,tailwind_border_utility,0,
component:CompassChart,src/components/CompassChart.tsx,raw_rgba,29,"L138: <stop offset=""0%"" stopColor=""rgba(217,119,6,0.55)"" /> | L139: <stop offset=""100%"" stopColor=""rgba(217,119,6,0)"" /> | L143: <stop offset=""0%"" stopColor=""rgba(185,28,28,0.35)"" />"
component:CompassChart,src/components/CompassChart.tsx,css_custom_property,0,
component:CompassChart,src/components/CompassChart.tsx,backdrop_filter_assignment,0,
component:CompassChart,src/components/CompassChart.tsx,hardcoded_box_shadow,0,
component:CompassChart,src/components/CompassChart.tsx,hardcoded_border_radius,0,
component:CompassChart,src/components/CompassChart.tsx,spec030_token_usage,0,
component:EditHardwareModal,src/components/EditHardwareModal.tsx,tailwind_shadow_utility,0,
component:EditHardwareModal,src/components/EditHardwareModal.tsx,tailwind_rounded_utility,0,
component:EditHardwareModal,src/components/EditHardwareModal.tsx,tailwind_border_utility,4,"L46: <div className=""modal-box bg-stone-900 border border-amber-900/30 glass-modal-surface""> | L56: className=""input input-bordered input-sm w-full bg-stone-800 border-amber-900/40 text-amber-100 input-styled"" | L73: className=""btn btn-sm bg-amber-600 hover:bg-amber-500 border-none text-white btn-bevel"""
component:EditHardwareModal,src/components/EditHardwareModal.tsx,raw_rgba,0,
component:EditHardwareModal,src/components/EditHardwareModal.tsx,css_custom_property,0,
component:EditHardwareModal,src/components/EditHardwareModal.tsx,backdrop_filter_assignment,0,
component:EditHardwareModal,src/components/EditHardwareModal.tsx,hardcoded_box_shadow,0,
